"word1";"word2";"ES.1";"ES.2";"POS";"score";"SimLex999";"conc(w1)";"conc(w2)";"concQ";"Assoc(USF)";"SimAssoc333";"SD(SimLex)"
"car";"carriage";"automóvil";"transporte";"N";"0.21";"5.13";"4.89";"4.86";4;"0.21";0;"1.2"
"elbow";"ankle";"codo";"tobillo";"N";"0.21";"3.13";5;"4.81";4;"0.21";0;"1.48"
"wealth";"fame";"riqueza";"fama";"N";"0.2";"4.02";"2.63";"1.96";1;"0.2";0;"1.1"
"sorrow";"shame";"tristeza";"vergüenza";"N";"0.2";"4.77";"2.36";"2.24";1;"0.2";0;"1.52"
"administration";"management";"administración";"gestión";"N";"0.2";"7.25";"2.78";"2.72";2;"0.2";0;"1.67"
"communication";"conversation";"comunicación";"conversación";"N";"0.2";"8.02";"2.9";"3.28";2;"0.2";0;"0.88"
"pollution";"atmosphere";"contaminación";"atmósfera";"N";"0.2";"4.25";"3.75";"3.04";2;"0.2";0;"0.98"
"anatomy";"biology";"anatomía";"biología";"N";"0.2";"5.33";"3.59";"3.48";2;"0.2";0;"1.37"
"college";"profession";"universidad";"profesión";"N";"0.2";"3.12";"4.62";"2.83";3;"0.2";0;"1.41"
"book";"topic";"libro";"tema";"N";"0.2";"2.07";"4.9";"2.59";3;"0.2";0;"1.22"
"formula";"equation";"fórmula";"ecuación";"N";"0.2";"7.95";"4.11";"3.65";3;"0.2";0;"0.56"
"book";"information";"libro";"información";"N";"0.2";5;"4.9";"2.87";3;"0.2";0;"1.13"
"boy";"partner";"muchacho";"socio";"N";"0.2";"1.9";"4.76";"3.53";3;"0.2";0;"1.54"
"sky";"universe";"cielo";"universo";"N";"0.2";"4.68";"4.45";"3.85";3;"0.2";0;"1.39"
"population";"people";"población";"personas";"N";"0.2";"7.68";"3.64";"4.82";3;"0.2";0;"0.8"
"college";"class";"universidad";"clase";"N";"0.2";"4.13";"4.62";"3.85";3;"0.2";0;"1.16"
"chief";"mayor";"jefe";"alcalde";"N";"0.2";"4.85";"4.26";"4.37";3;"0.2";0;"1.25"
"rabbi";"minister";"rabino";"ministro";"N";"0.2";"7.62";"4.64";"4.22";3;"0.2";0;"1.35"
"meter";"inch";"metro";"pulgada";"N";"0.2";"5.08";"4.7";"4.37";3;"0.2";0;"1.19"
"polyester";"cotton";"poliéster";"algodón";"N";"0.2";"5.63";"4.12";"4.97";3;"0.2";0;"1.53"
"lawyer";"banker";"abogado";"banquero";"N";"0.2";"1.88";"4.7";"4.43";3;"0.2";0;"1.18"
"violin";"instrument";"violín";"instrumento";"N";"0.2";"6.58";"4.96";"4.27";3;"0.2";0;"1.39"
"camp";"cabin";"campamento";"cabina";"N";"0.2";"4.2";"4.35";"4.92";3;"0.2";0;"1.2"
"pot";"appliance";"olla";"aplicación";"N";"0.2";"2.53";"4.81";"4.57";3;"0.2";0;"1.26"
"linen";"fabric";"lino";"tejido";"N";"0.2";"7.47";"4.8";"4.63";3;"0.2";0;"1.26"
"whiskey";"champagne";"whisky";"champán";"N";"0.2";"5.33";"4.74";"4.82";4;"0.2";0;"1.29"
"girl";"child";"chica";"niña";"N";"0.2";"5.38";"4.85";"4.78";4;"0.2";0;"1.21"
"cottage";"cabin";"finca";"cabina";"N";"0.2";"7.72";"4.85";"4.92";4;"0.2";0;"1.47"
"bird";"hen";"ave";"gallina";"N";"0.2";"7.03";5;"4.9";4;"0.2";0;"1.43"
"racket";"noise";;"ruido";"N";"0.19";"8.1";"4.26";"3.52";3;"0.19";0;"1.49"
"sunset";"evening";"atardecer";"tarde";"N";"0.19";"5.98";"4.54";"3.26";3;"0.19";0;"1.35"
"drizzle";"rain";"llovizna";"lluvia";"N";"0.19";"9.17";"4.21";"4.97";3;"0.19";0;"0.39"
"adult";"baby";"adulto";"bebé";"N";"0.19";"2.22";"4.4";5;3;"0.19";0;"0.39"
"charcoal";"coal";;"carbón";"N";"0.19";"7.63";"4.85";"4.66";4;"0.19";0;"1.43"
"body";"spine";"cuerpo";"columna";"N";"0.19";"4.78";"4.79";"4.88";4;"0.19";0;"1.22"
"head";"nail";"cabeza";"clavo";"N";"0.19";"2.47";"4.75";"4.93";4;"0.19";0;"1.4"
"log";"timber";;;"N";"0.19";"8.05";"4.96";"4.9";4;"0.19";0;"1.12"
"spoon";"cup";"cuchara";"taza";"N";"0.19";"2.02";"4.96";5;4;"0.19";0;"0.9"
"body";"nerve";"cuerpo";"nervio";"N";"0.18";"3.13";"4.79";"3.89";3;"0.18";0;"1.12"
"man";"husband";"hombre";"esposo";"N";"0.18";"5.32";"4.79";"4.11";3;"0.18";0;"1.71"
"bone";"neck";"hueso";"cuello";"N";"0.18";"2.53";"4.9";5;4;"0.18";0;"1.05"
"frustration";"anger";"frustración";"furia";"N";"0.17";"6.5";"2.06";"2.41";1;"0.17";0;"0.39"
"river";"sea";"río";"mar";"N";"0.17";"5.72";"4.89";"4.79";4;"0.17";0;"0.39"
"task";"job";"tarea";"trabajo";"N";"0.16";"8.87";"2.84";"3.19";2;"0.16";0;"1.75"
"club";"society";"club";"sociedad";"N";"0.16";"5.23";"3.78";"2.54";2;"0.16";0;"1.59"
"reflection";"image";"reflejo";"imágen";"N";"0.16";"7.27";"3.29";"3.85";2;"0.16";0;"1.06"
"prince";"king";"príncipe";"rey";"N";"0.16";"5.92";"4.44";"4.1";3;"0.16";0;"1.05"
"snow";"weather";"nieve";"clima";"N";"0.16";"5.48";"4.85";"3.83";3;"0.16";0;"1.36"
"people";"party";"gente";"fiesta";"N";"0.16";"2.2";"4.82";"3.89";3;"0.16";0;"1.42"
"boy";"brother";"muchacho";"hermano";"N";"0.16";"6.67";"4.76";"4.43";3;"0.16";0;"1.58"
"root";"grass";"raíz";"pasto";"N";"0.16";"3.55";"4.34";"4.93";3;"0.16";0;"1.35"
"brow";"eye";"frente";"ojo";"N";"0.16";"3.82";"4.39";"4.9";3;"0.16";0;"1.41"
"money";"pearl";"dinero";"perla";"N";"0.16";"2.1";"4.54";"4.87";3;"0.16";0;"1.94"
"money";"diamond";"dinero";"diamante";"N";"0.16";"3.42";"4.54";"4.89";3;"0.16";0;"1.37"
"vehicle";"bus";"vehículo";"autobus";"N";"0.16";"6.47";"4.64";"4.9";4;"0.16";0;"1.38"
"cab";"bus";"taxi";"autobus";"N";"0.16";"5.6";"4.88";"4.9";4;"0.16";0;"1.64"
"house";"barn";"casa";"granero";"N";"0.16";"4.33";5;"4.79";4;"0.16";0;"1.6"
"finger";"palm";"dedo";"palma";"N";"0.16";"3.33";5;"4.83";4;"0.16";0;"1.5"
"car";"bridge";"automóvil";"puente";"N";"0.16";"0.95";"4.89";"4.97";4;"0.16";0;"1.2"
"effort";"difficulty";"esfuerzo";"dificultad";"N";"0.15";"4.45";"2.33";"1.9";1;"0.15";0;"1.22"
"fact";"insight";"hecho";"visón";"N";"0.15";"4.77";"2.72";"1.72";1;"0.15";0;"1.11"
"job";"management";"trabajo";"gestión";"N";"0.15";"3.97";"3.19";"2.72";2;"0.15";0;"1.33"
"cancer";"sickness";"cáncer";"enfermedad";"N";"0.15";"7.93";"3.86";"3.45";2;"0.15";0;"1.57"
"word";"newspaper";"palabra";"periódico";"N";"0.15";"2.47";"3.56";"4.82";3;"0.15";0;"0.94"
"composer";"writer";"compositor";"escritor";"N";"0.15";"6.58";"4.37";"4.32";3;"0.15";0;"0.8"
"actor";"singer";"actor";"cantante";"N";"0.15";"4.52";"4.57";"4.62";3;"0.15";0;"1.26"
"shelter";"hut";"refugio";"choza";"N";"0.15";"6.47";"4.64";"4.65";3;"0.15";0;"1.59"
"bathroom";"kitchen";"baño";"cocina";"N";"0.15";"3.1";"4.52";"4.97";4;"0.15";0;"1.22"
"cabin";"hut";"cabina";"choza";"N";"0.15";"6.53";"4.92";"4.65";4;"0.15";0;"1.37"
"door";"kitchen";"puerta";"cocina";"N";"0.15";"1.67";"4.81";"4.97";4;"0.15";0;"0.44"
"value";"belief";"valor";"creencia";"N";"0.14";"7.07";"1.62";"1.19";1;"0.14";0;"0.95"
"wisdom";"intelligence";"sabiduría";"inteligencia";"N";"0.14";"7.47";"1.53";"2.24";1;"0.14";0;"1.33"
"ignorance";"intelligence";"ingorancia";"inteligencia";"N";"0.14";"1.5";"1.6";"2.24";1;"0.14";0;"1.3"
"happiness";"luck";"felicidad";"suerte";"N";"0.14";"2.38";"2.6";"1.33";1;"0.14";0;"1.2"
"idea";"scheme";"idea";"esquema";"N";"0.14";"6.75";"1.61";"2.41";1;"0.14";0;"1.47"
"mood";"emotion";"ánimo";"emoción";"N";"0.14";"8.12";"1.75";"2.44";1;"0.14";0;"1.64"
"happiness";"peace";"felicidad";"paz";"N";"0.14";"6.03";"2.6";"1.62";1;"0.14";0;"1.35"
"despair";"misery";"desesperación";"miseria";"N";"0.14";"7.22";"2.21";"2.04";1;"0.14";0;"1.06"
"logic";"arithmetic";"lógica";"aritmética";"N";"0.14";"3.97";"1.72";"2.74";1;"0.14";0;"1.81"
"denial";"confession";"negación";"confesión";"N";"0.14";"1.03";"2.46";"2.4";1;"0.14";0;"1.64"
"argument";"criticism";"argumento";"crítica";"N";"0.14";"5.08";"2.85";"2.07";1;"0.14";0;"1.07"
"aggression";"hostility";"agresión";"hostilidad";"N";"0.14";"8.48";"2.68";"2.24";1;"0.14";0;"0.44"
"hysteria";"confusion";"histeria";"confusión";"N";"0.14";"6.33";"2.86";"2.24";1;"0.14";0;"0.44"
"chemistry";"theory";"química";"teoría";"N";"0.14";"3.17";"3.64";"1.47";1;"0.14";0;"1.4"
"trial";"verdict";"juicio";"veredicto";"N";"0.14";"3.33";"3.07";"2.19";2;"0.14";0;"1.18"
"comfort";"safety";"comodidad";"seguridad";"N";"0.14";"5.8";"2.89";"2.37";2;"0.14";0;"1.21"
"confidence";"self";"confianza";;"N";"0.14";"3.12";"2.17";"3.1";2;"0.14";0;"1.24"
"vision";"perception";"visión";"percepción";"N";"0.14";"6.88";"3.39";2;2;"0.14";0;"1.31"
"era";"decade";"era";"década";"N";"0.14";"5.4";"2.24";"3.19";2;"0.14";0;"1.02"
"biography";"fiction";"biografía";"ficción";"N";"0.14";"1.38";"3.39";"2.14";2;"0.14";0;"1.24"
"discussion";"argument";"discusión";"argumento";"N";"0.14";"5.48";"3.07";"2.85";2;"0.14";0;"1.43"
"code";"symbol";"código";"símbolo";"N";"0.14";"6.03";3;"3.11";2;"0.14";0;"1.67"
"danger";"disease";"peligro";"enfermedad";"N";"0.14";3;"2.68";"3.45";2;"0.14";0;"0.44"
"accident";"catastrophe";"accidente";"catástrofe";"N";"0.14";"5.9";"3.26";"2.96";2;"0.14";0;"1.63"
"journey";"trip";"jornada";"paseo";"N";"0.14";"8.88";"2.57";"3.71";2;"0.14";0;"1.14"
"activity";"movement";"actividad";"movimiento";"N";"0.14";"7.15";"2.72";"3.63";2;"0.14";0;"1.1"
"gossip";"news";"chisme";"noticia";"N";"0.14";"5.22";3;"3.41";2;"0.14";0;"1.21"
"father";"god";"padre";"dios";"N";"0.14";"3.57";"4.52";"2.07";2;"0.14";0;"1.31"
"action";"course";"acción";;"N";"0.14";"5.45";"2.86";"3.82";2;"0.14";0;"1.75"
"fever";"illness";"fiebre";"enfermedad";"N";"0.14";"7.65";"3.27";"3.54";2;"0.14";0;"1.54"
"aviation";"flight";"aviación";"vuelo";"N";"0.14";"8.18";"3.39";"3.9";2;"0.14";0;"1.83"
"game";"action";"juego";"acción";"N";"0.14";"4.85";"4.5";"2.86";2;"0.14";0;"1.12"
"molecule";"air";"molécula";"aire";"N";"0.14";"3.05";"3.27";"4.11";2;"0.14";0;"1.84"
"home";"state";"hogar";"estado";"N";"0.14";"2.58";"4.11";"3.52";3;"0.14";0;"1.6"
"word";"literature";"palabra";"literatura";"N";"0.14";"4.77";"3.56";"4.1";3;"0.14";0;"0.59"
"adult";"guardian";"adulto";"guardían";"N";"0.14";"6.9";"4.4";"3.28";3;"0.14";0;"1.19"
"newspaper";"information";"periódico";"información";"N";"0.14";"5.65";"4.82";"2.87";3;"0.14";0;"1.31"
"communication";"television";"comunicación";"televisión";"N";"0.14";"5.6";"2.9";"4.83";3;"0.14";0;"1.27"
"cousin";"uncle";"primo";"tío";"N";"0.14";"4.63";"3.7";"4.24";3;"0.14";0;"1.84"
"author";"reader";"autor";"lector";"N";"0.14";"1.6";"4.26";"3.89";3;"0.14";0;"1.47"
"guy";"partner";"chico";"socio";"N";"0.14";"3.57";"4.68";"3.53";3;"0.14";0;"1.24"
"area";"corner";"área";"esquina";"N";"0.14";"2.07";"3.72";"4.61";3;"0.14";0;"1.41"
"ballad";"song";"balada";"canción";"N";"0.14";"7.53";"3.88";"4.46";3;"0.14";0;"0.84"
"wall";"decoration";"pared";"decoración";"N";"0.14";"2.62";"4.86";"3.53";3;"0.14";0;"0.89"
"word";"page";"palabra";"página";"N";"0.14";"2.92";"3.56";"4.9";3;"0.14";0;"0.99"
"nurse";"scientist";"enfermera";"científico";"N";"0.14";"2.08";"4.39";"4.24";3;"0.14";0;"1.06"
"politician";"president";"político";"presidente";"N";"0.14";"7.38";"4.33";"4.4";3;"0.14";0;"1.05"
"president";"mayor";"presidente";"alcalde";"N";"0.14";"5.68";"4.4";"4.37";3;"0.14";0;"1.4"
"book";"essay";"libro";"ensayo";"N";"0.14";"4.72";"4.9";"3.97";3;"0.14";0;"1.3"
"man";"warrior";"hombre";"guerrero";"N";"0.14";"4.72";"4.79";"4.17";3;"0.14";0;"1.03"
"article";"journal";"artículo";"revista";"N";"0.14";"6.18";"4.33";"4.63";3;"0.14";0;"1.45"
"breakfast";"supper";"desayuno";"cena";"N";"0.14";"4.4";"4.43";"4.63";3;"0.14";0;"1.47"
"crowd";"parade";"multitud";"desfile";"N";"0.14";"3.93";"4.52";"4.54";3;"0.14";0;"1.05"
"aisle";"hallway";;"pasillo";"N";"0.14";"6.75";"4.35";"4.74";3;"0.14";0;"1.36"
"teacher";"rabbi";"profesor";"rabino";"N";"0.14";"4.37";"4.52";"4.64";3;"0.14";0;"1.12"
"hip";"lip";"cadera";"labio";"N";"0.14";"1.43";"4.21";"4.96";3;"0.14";0;"1.45"
"book";"article";"libro";"artículo";"N";"0.14";"5.43";"4.9";"4.33";3;"0.14";0;"0.95"
"room";"cell";"habitación";"celda";"N";"0.14";"4.58";"4.79";"4.44";3;"0.14";0;"1.28"
"box";"booth";"caja";"stand";"N";"0.14";"3.8";"4.9";"4.42";3;"0.14";0;"1.38"
"daughter";"kid";"hija";"niña";"N";"0.14";"4.17";"4.79";"4.56";3;"0.14";0;"1.24"
"limb";"leg";"extremidad";"pierna";"N";"0.14";"6.9";"4.64";"4.83";4;"0.14";0;"1.23"
"liver";"lung";"hígado";"pulmón";"N";"0.14";"2.7";"4.68";"4.82";4;"0.14";0;"1.38"
"classroom";"hallway";"aula";"pasillo";"N";"0.14";2;"4.76";"4.74";4;"0.14";0;"1.23"
"mountain";"ledge";"montaña";"cornisa";"N";"0.14";"3.73";"4.96";"4.72";4;"0.14";0;"1.21"
"car";"elevator";"automóvil";"ascensor";"N";"0.14";"1.03";"4.89";"4.79";4;"0.14";0;"1.19"
"bed";"couch";"cama";"sillón";"N";"0.14";"3.42";5;"4.71";4;"0.14";0;"1.85"
"clothes";"button";"ropa";"botón";"N";"0.14";"2.3";"4.76";"4.96";4;"0.14";0;"1.44"
"clothes";"coat";"ropa";"abrigo";"N";"0.14";"5.35";"4.76";"4.97";4;"0.14";0;"1.37"
"kidney";"organ";"riñón";"órgano";"N";"0.14";"6.17";"4.96";"4.77";4;"0.14";0;"0.95"
"apple";"sauce";"manzana";"salsa";"N";"0.14";"1.43";5;"4.75";4;"0.14";0;"2.11"
"chicken";"steak";"pollo";"churrasco";"N";"0.14";"3.73";"4.8";"4.96";4;"0.14";0;"1.39"
"car";"hose";"automóvil";"manguera";"N";"0.14";"0.87";"4.89";"4.87";4;"0.14";0;"0.78"
"tobacco";"cigarette";"tabaco";"cigarrillo";"N";"0.14";"7.5";"4.88";"4.88";4;"0.14";0;"1.49"
"student";"professor";"estudiante";"profesor";"N";"0.14";"1.95";"4.92";"4.86";4;"0.14";0;"1.13"
"baby";"daughter";"bebé";"hija";"N";"0.14";5;5;"4.79";4;"0.14";0;"1.29"
"pipe";"cigar";"pipa";"cigarro";"N";"0.14";"6.03";"4.88";"4.93";4;"0.14";0;"1.01"
"milk";"juice";"leche";"jugo";"N";"0.14";"4.05";"4.92";"4.89";4;"0.14";0;"1.46"
"box";"cigar";"caja";"cigarro";"N";"0.14";"1.25";"4.9";"4.93";4;"0.14";0;"1.89"
"apartment";"hotel";"apartamento";"hotel";"N";"0.14";"3.33";"4.9";"4.93";4;"0.14";0;"1.18"
"cup";"cone";"copa";"cono";"N";"0.14";"3.17";5;"4.86";4;"0.14";0;"1.13"
"horse";"ox";"caballo";"buey";"N";"0.14";"3.02";5;"4.86";4;"0.14";0;"1.18"
"throat";"nose";"garganta";"nariz";"N";"0.14";"2.8";"4.97";"4.89";4;"0.14";0;"1.12"
"bone";"teeth";"hueso";"diente";"N";"0.14";"4.17";"4.9";"4.96";4;"0.14";0;"1.92"
"bone";"elbow";"hueso";"codo";"N";"0.14";"3.78";"4.9";5;4;"0.14";0;"1.58"
"bacon";"bean";"tocino";"frijol";"N";"0.14";"1.22";"4.9";5;4;"0.14";0;"0.92"
"cup";"jar";"copa";"tarro";"N";"0.14";"5.13";5;5;4;"0.14";0;"1.17"
"proof";"fact";"prueba";"hecho";"N";"0.13";"7.3";"2.67";"2.72";2;"0.13";0;"1.7"
"appointment";"engagement";"nombramiento";"compromiso";"N";"0.13";"6.75";3;"2.75";2;"0.13";0;"1.59"
"birthday";"year";"cumpleaños";"año";"N";"0.13";"1.67";"3.2";"3.25";2;"0.13";0;"1.69"
"word";"clue";"palabra";"pista";"N";"0.13";"2.53";"3.56";"2.93";2;"0.13";0;"1.65"
"author";"creator";"autor";"creador";"N";"0.13";"8.02";"4.26";"3.07";2;"0.13";0;"1.5"
"atom";"carbon";"átomo";"carbono";"N";"0.13";"3.1";"3.34";"4.22";3;"0.13";0;"0.93"
"archbishop";"bishop";"arzobispo";"obispo";"N";"0.13";"7.05";"4.14";"4.21";3;"0.13";0;"1.59"
"letter";"paragraph";"carta";"párrafo";"N";"0.13";4;"4.7";"3.96";3;"0.13";0;"1.12"
"page";"paragraph";"página";"párrafo";"N";"0.13";"3.03";"4.9";"3.96";3;"0.13";0;"1.37"
"steeple";"chapel";"campanario";"capilla";"N";"0.13";"7.08";"4.74";"4.6";3;"0.13";0;"1.03"
"muscle";"bone";"músculo";"hueso";"N";"0.13";"3.65";"4.5";"4.9";3;"0.13";0;"1.68"
"muscle";"tongue";"músculo";"lengua";"N";"0.13";5;"4.5";"4.93";3;"0.13";0;"1.65"
"boy";"soldier";"muchacho";"soldado";"N";"0.13";"2.15";"4.76";"4.72";4;"0.13";0;"1.51"
"belly";"abdomen";"vientre";"abdomen";"N";"0.13";"8.13";"4.8";"4.7";4;"0.13";0;"1.53"
"guy";"girl";"chico";"chica";"N";"0.13";"3.33";"4.68";"4.85";4;"0.13";0;"1.9"
"bed";"chair";"cama";"silla";"N";"0.13";"3.5";5;"4.58";4;"0.13";0;"1.26"
"clothes";"jacket";"ropa";"chaqueta";"N";"0.13";"5.15";"4.76";"4.86";4;"0.13";0;"0.74"
"gun";"knife";"pistola";"cuchillo";"N";"0.13";"3.65";"4.83";"4.9";4;"0.13";0;"1.03"
"tin";"metal";"estaño";"metal";"N";"0.13";"5.63";"4.87";"4.87";4;"0.13";0;"1.15"
"bottle";"container";"botella";"contenedor";"N";"0.13";"7.93";"4.91";"4.85";4;"0.13";0;"1.38"
"hen";"turkey";"gallina";"pavo";"N";"0.13";"6.13";"4.9";"4.89";4;"0.13";0;"1.6"
"meat";"bread";"carne";"pan";"N";"0.13";"1.67";"4.9";"4.92";4;"0.13";0;"1.62"
"arm";"bone";"brazo";"hueso";"N";"0.13";"3.83";"4.96";"4.9";4;"0.13";0;"1.94"
"neck";"spine";"cuello";"columna";"N";"0.13";"5.32";5;"4.88";4;"0.13";0;"1.16"
"apple";"lemon";"manzana";"limón";"N";"0.13";"4.05";5;5;4;"0.13";0;"1.58"
"agony";"grief";"agonía";"dolor";"N";"0.12";"7.63";"2.38";"2.7";1;"0.12";0;"1.94"
"assignment";"task";"asignación";"tarea";"N";"0.12";"8.7";"3.86";"2.84";2;"0.12";0;"1.37"
"night";"dawn";"noche";"amanecer";"N";"0.12";"2.95";"4.52";"4.46";3;"0.12";0;"1.53"
"dinner";"soup";"cena";"sopa";"N";"0.12";"3.72";"4.5";"4.72";3;"0.12";0;"1.89"
"calf";"bull";"pantorrilla";"toro";"N";"0.12";"4.93";"4.48";"4.85";3;"0.12";0;"1.67"
"snow";"storm";"nieve";"tormenta";"N";"0.12";"4.8";"4.85";"4.7";4;"0.12";0;"0.88"
"nail";"hand";"uña";"mano";"N";"0.12";"3.42";"4.93";"4.72";4;"0.12";0;"1.14"
"dog";"horse";"perro";"caballo";"N";"0.12";"2.38";"4.85";5;4;"0.12";0;"1.39"
"arm";"neck";"brazo";"cuello";"N";"0.12";"1.58";"4.96";5;4;"0.12";0;"0.72"
"ball";"glove";"pelota";"guante";"N";"0.12";"1.75";5;"4.97";4;"0.12";0;"1.27"
"flu";"fever";"gripe";"fiebre";"N";"0.11";"6.08";"3.65";"3.27";2;"0.11";0;"1.58"
"fee";"salary";"cuota";"salario";"N";"0.11";"3.72";"3.89";"3.69";3;"0.11";0;"1.26"
"nerve";"brain";"nervio";"cerebro";"N";"0.11";"3.88";"3.89";"4.69";3;"0.11";0;"1.74"
"beast";"animal";"bestia";"animal";"N";"0.11";"7.83";"4.63";"4.61";3;"0.11";0;"1.64"
"dinner";"chicken";"cena";"pollo";"N";"0.11";"2.85";"4.5";"4.8";3;"0.11";0;"1.5"
"girl";"maid";"chica";;"N";"0.11";"2.93";"4.85";"4.64";4;"0.11";0;"0.9"
"child";"boy";"niño";"chico";"N";"0.11";"5.75";"4.78";"4.76";4;"0.11";0;"1.82"
"alcohol";"wine";"alcohol";"vino";"N";"0.11";"7.42";"4.76";"4.79";4;"0.11";0;"1.53"
"nose";"mouth";"nariz";"boca";"N";"0.11";"3.73";"4.89";"4.74";4;"0.11";0;"1.5"
"street";"car";"calle";"automóvil";"N";"0.11";"2.38";"4.75";"4.89";4;"0.11";0;"1.16"
"bell";"door";"campana";"puerta";"N";"0.11";"2.2";"4.96";"4.81";4;"0.11";0;"1.46"
"box";"hat";"caja";"sombrero";"N";"0.11";"1.3";"4.9";"4.88";4;"0.11";0;"1.15"
"belief";"impression";"creencia";"impresión";"N";"0.1";"5.95";"1.19";"2.23";1;"0.1";0;"0.72"
"bias";"opinion";"sesgo";"opinión";"N";"0.1";"5.6";"1.68";"1.93";1;"0.1";0;"1.16"
"attention";"awareness";"atención";"preocupación";"N";"0.1";"8.73";"2.3";"1.84";1;"0.1";0;"1.64"
"anger";"mood";"ira";"ánimo";"N";"0.1";"4.1";"2.41";"1.75";1;"0.1";0;"1.87"
"elegance";"style";"elegancia";"estilo";"N";"0.1";"5.72";"2.18";"2.67";1;"0.1";0;"1.76"
"beauty";"age";"belleza";"edad";"N";"0.1";"1.58";"2.93";"2.86";2;"0.1";0;"1.54"
"book";"theme";"libro";"tema";"N";"0.1";"2.58";"4.9";"2.72";3;"0.1";0;"0.81"
"friend";"mother";"amigo";"madre";"N";"0.1";"2.53";"3.07";"4.6";3;"0.1";0;"1.54"
"vitamin";"iron";"vitamina";"hierro";"N";"0.1";"5.55";"4.48";"4.59";3;"0.1";0;"1.14"
"car";"factory";"automóvil";"fábrica";"N";"0.1";"2.75";"4.89";"4.76";4;"0.1";0;"1.43"
"pact";"condition";"pacto";"condición";"N";0;"2.45";"2.52";"2.15";1;0;0;"1.59"
"chapter";"choice";"capítulo";"opción";"N";0;"0.48";"3.43";"1.9";2;0;0;"0.86"
"arithmetic";"rhythm";"aritmética";"ritmo";"N";0;"2.35";"2.74";"3.07";2;0;0;"2.08"
"winner";"presence";"ganador";"presencia";"N";0;"1.08";"3.21";"2.72";2;0;0;"1.12"
"belief";"flower";"creencia";"flor";"N";0;"0.4";"1.19";5;2;0;0;"1.19"
"winner";"goal";"ganador";"meta";"N";0;"3.23";"3.21";"3.06";2;0;0;"1.67"
"trick";"size";"truco";"tamaño";"N";0;"0.48";"3.36";"3.13";2;0;0;"0.59"
"choice";"vein";"opción";"vena";"N";0;"0.98";"1.9";"4.63";2;0;0;"1.11"
"hymn";"conquest";"himno";"conquista";"N";0;"0.68";"4.04";"2.54";2;0;0;"0.88"
"endurance";"band";"resistencia";"banda";"N";0;"0.4";2;"4.68";2;0;0;"0.44"
"jail";"choice";"cárcel";"elección";"N";0;"1.08";"4.83";"1.9";2;0;0;"1.08"
"condition";"boy";"condición";"chico";"N";0;"0.48";"2.15";"4.76";2;0;0;"0.8"
"flower";"endurance";"flor";"resistencia";"N";0;"0.4";5;2;2;0;0;"1.7"
"hole";"agreement";"agujero";"acuerdo";"N";0;"0.3";"4.81";"2.22";2;0;0;"1.72"
"doctor";"temper";"médico";"temperamento";"N";0;"0.48";"4.69";"2.56";2;0;0;"1.44"
"fraternity";"door";"fraternidad";"puerta";"N";0;"0.68";"2.46";"4.81";2;0;0;"0.94"
"task";"woman";"tarea";"mujer";"N";0;"0.68";"2.84";"4.46";2;0;0;"0.34"
"fraternity";"baseball";"fraternidad";"béisbol";"N";0;"0.88";"2.46";"4.86";2;0;0;"0.98"
"cent";"size";"céntimo";"tamaño";"N";0;"0.4";"4.19";"3.13";2;0;0;"1.24"
"presence";"door";"presencia";"puerta";"N";0;"0.48";"2.72";"4.81";3;0;0;"0.83"
"mouse";"management";"ratón";"gestión";"N";0;"0.48";"4.83";"2.72";3;0;0;"1.59"
"task";"highway";"tarea";"carretera";"N";0;"0.48";"2.84";"4.72";3;0;0;"1.34"
"liquor";"century";"licor";"siglo";"N";0;"0.4";"4.73";"2.83";3;0;0;"1.31"
"task";"straw";"tarea";"paja";"N";0;"0.68";"2.84";"4.77";3;0;0;"1.53"
"island";"task";"isla";"tarea";"N";0;"0.3";"4.96";"2.84";3;0;0;"0.96"
"night";"chapter";"noche";"capítulo";"N";0;"0.48";"4.52";"3.43";3;0;0;"0.92"
"pollution";"president";"polución";"presidente";"N";0;"0.68";"3.75";"4.4";3;0;0;"1.6"
"gun";"trick";"pistola";"truco";"N";0;"0.48";"4.83";"3.36";3;0;0;"1.41"
"bath";"trick";"baño";"truco";"N";0;"0.58";"4.85";"3.36";3;0;0;"1.28"
"diet";"apple";"dieta";"manzana";"N";0;"1.18";"3.21";5;3;0;0;"1.56"
"cent";"wife";"céntimo";"esposa";"N";0;"0.58";"4.19";"4.13";3;0;0;"1.7"
"chapter";"tail";"capítulo";"cola";"N";0;"0.3";"3.43";"4.96";3;0;0;"1.57"
"course";"stomach";;"estómago";"N";0;"0.58";"3.82";"4.89";3;0;0;"0.87"
"hymn";"straw";"himno";"paja";"N";0;"0.4";"4.04";"4.77";3;0;0;"1.64"
"dentist";"colonel";"dentista";"coronel";"N";0;"0.4";"4.93";"3.89";3;0;0;"1.7"
"wife";"straw";"esposa";"paja";"N";0;"0.4";"4.13";"4.77";3;0;0;"1.53"
"hole";"wife";"agujero";"esposa";"N";0;"0.68";"4.81";"4.13";3;0;0;"1.18"
"pupil";"president";"alumno";"presidente";"N";0;"0.78";"4.55";"4.4";3;0;0;"1.28"
"bath";"wife";"baño";"esposa";"N";0;"0.48";"4.85";"4.13";3;0;0;"1.42"
"people";"cent";"gente";"céntimo";"N";0;"0.48";"4.82";"4.19";3;0;0;"1.61"
"formula";"log";"fórmula";;"N";0;"1.77";"4.11";"4.96";3;0;0;"1.51"
