tuit,pol 
"RT @juanjoolaizola: En Diputados recibimos al Ministro Rossi. Atraso en obras viales, puertos y trenes estarán en las preguntas. https://t.…",NONE
RT @carodominguezuy: LAMENTABLE. Igual de amable que cuando intenté hacerle consultas por teléfono tiempo atrás. https://t.co/goEcszK4G1,N
"RT @janarhertz: Son realidades distintas, pero una cosa hay en común con UY: por mucho q se quejen del partido de gob, la oposición no logr…",N
"RT @Mediosuru: .@PedroBordaberry ""Hay muchos en Uruguay que aún siguen sosteniendo que nos debemos basar en el modelo Kirchnerista de Argen…",N
Me dicen q propongo q sólo los eruditos opinen xq pido q lean un documento antes de opinar del mismo. Esa gente se queja de nuestra Educ,N
RT @gloriasaravista: @lista71 @LuisLacallePou Cachon 74 días sin repuesta gobierno esperamos hoy se reflexione en Consejo Ministro #LaMinis…,N
RT @adrikelly23: @igalvar71 buenos días nacho esperando a arranque la radio.  Impresionante el programa de ayer Santo y seña  saludos de ad…,P
"RT @AndreaBrugman: Hoy a 1 año, asumía 1er Intendente Reelecto @FloridaIDF @CEnciso62 #cercadelagente para continuar #creciendojuntos https…",NONE
RT @AgustinaGuido84: PAYSANDÚ | @jorgewlarranaga y @dipolivera reunidos con el Min. Basso por sala blanca e IMAE https://t.co/7auz37CwMA ht…,NONE
"Seamos sensatos, y el enojo con Bonomi no es la pequeña burguesía de lo PPTT, es el país gente, no lo ve el que no lo quiere ver. Allá ellos",N
RT @MartinLema404: Junto a @juanechavarria de @ASHcomUY en el Programa @PisandoF de 104.9 FM,NONE
RT @eitbNoticias: FOTOS: Pamplona disfruta con los #sanfermines2016  https://t.co/GWKSY8rqaA https://t.co/GWKSY8rqaA #SF2016 https://t.co/5…,NONE
"RT @ElOjoChurrinche: @opinionauta es algo mas que eso""no me paso quejando de vivir"" Vivo la vida, con dificultades y alegrias como cualquie…",P
RT @CardosoGerman: Este Ajuste Fiscal luego de 10 años de bonanza inédita era evitable.Solo se explica por irresponsabilidad y mala gestión…,N
"RT @Mediosuru: .@EdgardoNovick ""La dirección de la concertación se apresuro en tomar la decisión, podrían haber hablado conmigo @enperspect…",N
"Seamos sensatos Senadora Paysee, si hasta su Vice Presidente tuvo que poner vigilancia en la casa. Por Dios Mujer! Mire con amplitud!!",N
La actitud de Uru. de dejar la Pres. del Mercosur es como cuando las novias arrojan el ramo para que alguna amiga solterona lo recoja.,N
"Buen día.

Filosofando:
La peor de las ironías es verse obligado a explicar que lo que escribimos es una ironía.",NONE
"Buen día.

Recuerden:
Pelear con rabia solo conduce a la derrota, aún cuando logres destruir a tu enemigo.",NEU
"Tres liceales me pararon en la calle para preguntarme ni no había visto por ahí un pokemon verde.
No necesitamos de las PISA.
Fuimos.",N
¿Y si en lugar de ironizar y burlarnos de Pokemon y quienes lo juegan aprendemos de ello que motiva a los jovenes y lo usamos para =&gt;,P
"Regla básica para negociar.

""Vos no le digas a mi mujer que me viste con María y yo no le cuento a tu esposo que andás con el almacenero"".",NONE
"Buen día.

Tengan en cuenta que:
Cuanto más incapaz es un individuo más apela a la corrupción para lograr sus metas.",N
"- Veo veo.
- ¿Que ves?
- Una cosa que empieza con ""Título"" y termina con ""Verguenza"".",N
"Buen día.

En una sociedad inmediatista, frenética y adicta a soluciones mágicas dedicar una hora un día a pensar es un acto revolucionario.",N
"Buen día.

De todos los vicios el más dañino, aunque no provoque cancer, es pensar.",N
"ALERTA

La CIA habría detectado la existencia de una universidad secreta que otorga títulos bajo falso nombre impresos con tinta invisible.",N
"Ya pasamos la etapa en que cualquiera que tuviese un título universitaro pretendía ser El Presidente adecuado.
Hoy =&gt;",NEU
"Educación.
Si tenés un Fusca podés mejorarlo, afinarlo, tunnearlo, pero nunca será un Ferrari.
Si querés un Ferrari verás como comprarlo.",NEU
"Buen día.

Si querés protestar, descalificar u opinar sobre algún asunto, primero informate exhaustivamente.
Eso te evitará quedar ""pegado"".",NEU
RT @RadioSarandi690: #Apagón @ute_energia informa que se trabaja para reparar 2 lineas de alta tensión de 500 mil voltios que dejaron sin l…,NONE
"Buen día.

Viernes.

El optimista - ¡Estamos a un paso del finde!
El presimista - Estamos más cerca del lunes.",NEU
"Buen día.

Tomen conciencia de que el lunes ya pasó y mantenganse alerta.",NEU
RT @ElOjoChurrinche: @opinionauta absolutamente. El descontrol de arriba el aprete corporativo y la falta de accion del ejecutivo. Mira el…,N
RT @ElOjoChurrinche: @opinionauta cuentan con la mayoria absoluta y pecan de soberbia. Tambien cuentan con vastos sectores sociales absolut…,N
"Buen día.

Inicien con una sonrisa.
Les aseguro que en el correr del día tendrán oportunidad de fruncir el ceño y rezongar.",NEU
"Buen día.

Desesperación - Modus operandi del gobierno.",N
Seamos sensatos: y para la parte de la policía que quiere hacer las cosas bien es un padecer un ministro que produce anomia.,N
"Seamos sensatos: cada día que pasa Bonomi en el Ministerio del Interior es una fiesta para todos, chorros, subalternos ineficaces y otros.",N
"¡FELIZ DIA DEL PADRE!

Aunque siento que el día que espere reconocimiento y saludos de mis hijos sabré que no fuí un buen padre.",NEU
RT @LANOTICIA_UY: .@ElsaLevrero VOY...A DIALOGAR CON LOS LÍDERES DE TODOS LOS PARTIDOS YA NO SE TRATA DE IZQUIERDA O DE DERECHA :@EDGARDONO…,NONE
"Buen día.

Bienaventurados los que ningunean, descalifican, insultan, agreden y mienten porque ellos heredarán Twitter.",N
"Buen día.

Lo digo temprano.
Despues de las declaraciones del PP sobre los ""vagos empleados públicos"" no se cuentan como adherentes al paro.",NONE
"RT @LaMamaDeRulitos: @opinionauta no,  eso es el día de la madre. El del padre es hoy nomás!",NONE
"¡FELIZ DIA DEL PADRE!

¿Vieron cuando llegan desesperados por una ducha y les dejaron el calefón apagado?

Bueno, eso se siente ser padre.",P
"¡FELIZ DIA DEL PADRE!

Si no es cierto sirve de consuelo.

Tu éxito como padre es inversamente proporcional al valor del regalo que recibas.",P
"Hoy no es un día en rojo cualquiera.
¡Es un lunes feriado!
...
A si, también está lo de la Constitución.",P
"Buen día.

¿Ya dijeron el Día del Padre son todos los días, hoy es comercial y nada más, etc?
¿Si? Bueno, entonces ...

FELIZ DIA DEL PADRE",NONE
"Educando:
Si ocupan un cargo en el gobierno y no tienen la capacidad para cumplir las taréas encomendadas, no renuncien, eliminen la tarea.",N
Seamos sensatos: Bonomi se debería ir por la de él (no complicar a Mujica) porque ya no lidera y genera autoridad en en MIN. Estamos fritos.,N
RT @nani_ke: Un deleite ver a #cachodelacruz en #elorigen del humor el más grande de todos los humoristas excelente programa @MuecaFilms @t…,P
Seamos sensatos: la oposición deben interpelar por la inseguridad ya es obsceno y el gobierno se tiene que aguantar. Eso es la democracia.,N
"RT @mvdsister: Esquizofrenia debe ser TT en Colombia, haciendo eco a lo que dijo Mujica de los colombianos si votaban NO.  Después piden qu…",N
"# Inseguridad. 10 Si estuviera el Ñato era el primero en decir que esto era un despelote y que no mandaba nadie. En fin, penoso es poco.",N
parte de lo más interesante del debate es ahora para mí #aleppo #syria #debate,NEU
Ensayando para tocar esta noche en Atlántida! Últimos lugares para ver a Los Alvarez en Índigo Resto Bar. Reservas 4372 2702. Nos vemos ahí!,NONE
"O debatir como se puede hacer discurso liberal en Busqueda, jugar de progre y aceptar el dinero del capitalismo de la derecha. Lindo",N
"Con Uber se está dando una guerra entre los de abajo, cuando el problema lo tienen que arreglar los de arriba (IMM y multinal.) Media pila.",N
No me parece ético hacer circular el estado de cuenta de Richard Read sin pruebas ni indicios de enriquecimiento ilícito (y no tiene tanto!),N
"Este sábado Los Alvarez tocamos en Atlántida. Las que sabemos todos, de ayer hoy y siempre! Reservas en Índigo Resto Bar 4372 2702",NONE
"RT @estebandelgado0: @igalvar71 Nacho,Felicitaciones por el gran programa de Hoy, Nos llenaste de emoción y pensamientos......  simplemente…",P
RT @RooooCardoso: @igalvar71 @YouTube Excelente programa...los miró siempre desde Arg. No pare de llorar...felicitaciones por el gran progr…,P
RT @mealmiron: Emocionante programa de #SantoySena @igalvar71 https://t.co/cSoQBd0x1H,P
"RT @MHackem: Mi resumen  de prog Santo y Seña, muy bueno, tienen q haber más programas q difundan inclusión e informen de, #SindromeDeDown…",P
RT @Sape27: La verdad que  era un ignorante con el tema del síndrome de down . Felicitaciones y gracias por abrirnos la cabeza @igalvar71 👏👏,P
RT @Nacho2596: Tremendo programa el de santo y seña👏🏻👏🏻👏🏻👏🏻,P
RT @Elicatt48: El mejor Santo y Seña !!🙌🙌🙌🙌🙌💞,P
"RT @amarazzi: nada en mi vida me enseñó tanto de escritura como estos tres párrafos. nada, eh. https://t.co/MqwHTNhdHG",P
"RT @TatianaCortazzo: Muy buen trabajo equipo de @santotv4 , @Chechobianchi @AlejandroAmaral y @igalvar71 -
Informe:  #LafiestadeAncap",P
RT @gabysilveira25: #Santoyseña edad triste como costo vidas jóvenes de compatriotas por tener aviones de la segunda guerra mundial! .,N
"Si todos los legisladores hacen las cosas bien, los invito a que publiquen los aportes de sus secretarios. De lo contrario, desconfiaremos.",N
El sirio Diyab llegó a las 4 AM en un vuelo de PDVSA. Está en el Maciel y ya lo liberan. Porque todo se sabe.,NONE
Precisión de Santo y seña: mañana domingo a las 14 llega el exguantánamo Diyab en vuelo de la Fuerza Aérea de Venezuela.,NONE
Hoy nuestro Santo y seña es: Ataques de perros. A las 22 30 en Monte Carlo TV. Porque todo se sabe. https://t.co/uZXa7TlWLg,NONE
"RT @MonteCarloTV: Santo y Seña: ataques de perros.
➡️https://t.co/9ap6OTmylf https://t.co/9StSO2Zf8A",NONE
Otra vez nos agarran de giles con el himno???,N
"Alguien nota que Argentina tiene uno menos? Sí, porque ahora por lo menos pasamos la mitad de la cancha",N
RT @AReySolanas: @igalvar71 cuando se jubilan los maestros en Uruguay?,NONE
Y Paraguay le ganó a Chile 🙈🙈🙈🙈,N
RT @Lascosas690: Fablet en Miami.... Nada más para agregar... @igalvar71 https://t.co/7Efvt04ftR,NONE
Quiénes son y qué hacen los sirios y ex Guantánamos que refugió Uruguay? Hoy 22:30 en Canal 4. Porque todo se sabe. https://t.co/X9pJvndqi6,NONE
Estos de Fenapes no pueden ser más trogloditas: leer una proclama sindical en clase???,N
"Primó el dejar de alimentar el negocio de Tenfield, que medra con la pobreza de los clubes, a expensas del interés del fútbol uruguayo.",N
"Por si no se entendió el tw, firmar con Nike le pincha a Tenfield el negocio de la venta de sponsors que la AUF puede empezar a explotar.",NEU
"Balbi explicó en Las cosas en su sitio que aceptar la oferta de Nike supone que Tenfield deje de vender la camiseta a sponsors (Antel, etc.)",NEU
Primicia de Santo y seña: el exguantánamo Diyab llega el lunes a Uruguay deportado de Venezuela. Porque todo se sabe.,NONE
Intendencias acordaron gradualidad de multas por velocidad. Deberían hacer lo mismo con el alcohol y no sacar la libreta por tomar una gota.,N
"Cuevas en el tercer set: ""Chupame la garcha!""",NONE
"Con dos accidentes mortales y cuatro fallecidos en cinco días, la FAU no debería suspender sus ejercicios y auditar los mantenimientos?",N
Viendo los JJOO me pregunto si los de los pasíes que no tenía idea que existían sentirán lo mismo con Uruguay,NEU
"No hay forma de justificar una violación. Pero le tengo más miedo a algunas reacciones frente al Pelado Cordera, que al Pelado mismo.",N
Mi punto es que entre la AUF y el MI estuvieron años pasándose la pelota; ahora por lo menos lo definieron. Que se aplique es otro tema.,P
MSP dijo que VIH no se hace con el carné de salud para que no se discrimine en el trabajo: háganlo confidencial o penen al que discrimine!!!,N
Qué animal Del Potro: le ganó al uno después de dos operaciones y dos años sin jugar. Y qué caballero Nole que lo felicitó y se fue llorando,P
"Que esta tal Soledad Bauzá diga que Santo y seña es aberrante, es tan patéticamente predecible como que TV Show le vaya a buscar la lengua.",N
"Ganó. Y no es la primera vez que tiene reacciones no muy tenísticas, pero es el mejor de nuestra historia.",P
RT @annajapiniuiar: Impresionante la entrevista de @igalvar71 a #huidobro recordada hoy. Recomiendo levantar en la página; es documento his…,P
RT @Miltonf53693736: @igalvar71 la verdad el programa fue excelente y toco en lo más profundo lamentable el comentario de Lucía brocal.,P
"RT @drclaudiosuarez: @MonteCarloTV @igalvar71 @santotv4 @_PatriciaMartin @AlejandroAmaral @Chechobianchi muy buena la nota, cuidada y sin b…",P
"RT @elpipimarcel: @albertobetocal @igalvar71 @luciabrocal mirar para el costado es negar la realidad, no saberlo no evita q pase,todo se sa…",N
"RT @EliPravia_10: @igalvar71 ignora a gente que se te quiere colgar del exito que es tu programa, mostrar la verdad! ese es el periodismo q…",P
"RT @juanchi_1985: @igalvar71 ""Periodismo es publicar lo que alguien no quiere que publiques. Todo lo demás es relaciones públicas"". Arriba",P
"RT @Teleuruguaya: .@igalvar71 estuvimos 11 meses mirando llorisquear a Fatmagul todas las noches, pero algunos se oponen a ver un caso real…",N
RT @MidshipmanUy: Parece q lo nuevo p/algunas mujeres es q 'nada se sepa'. 'revictimizar' es un concepto 'progre' p/ocultar la verdad. http…,N
RT @Egozcuep: @igalvar71 apoyo tu periodismo !!! Aguante santo y seña !!! Xq todo se sabe...,P
RT @caviglia_marta: @silviam68302612 @igalvar71 @luciabrocal YO LO SUFRI DESDE LOS 4 A LOS 15 AÑOS CON UN HERMANO😢 SUFRIR ES TENERLO GUARDA…,N
RT @anagonz12666151: @igalvar71 yo apoyo al periodismo de nacho y su equipo!!es el unico programa que muestra la realidad.Y siempre con res…,P
"RT @cgezzio: @luciabrocal @igalvar71 El profesionalismo se aplaude en estos casos. Nadie puso un arma en la cabeza a la ""niña"" (21 años) pa…",P
RT @riky73407: @igalvar71 el mundo de los hipócritas,N
RT @mj_malvarez: @igalvar71 Haces bien en denunciar casos d abuso. La chica es lo suficientemente grande como para decidir si quiere hablar…,P
"Sobre Gustaf y a propósito de lo que algunos están ""informando"", no es que ""deje"" sus trabajos, sino que se toma unos días. Lo esperamos!!!",NONE
"RT @Infosectas: Este miércoles 27, informe sobre ""secta neopentecostal"" en Mvdeo. y pastores de la ""prosperidad"" en @santotv4 con @Chechobi…",NONE
https://t.co/Rjr8GRxrEp,NONE
volviendo al pago https://t.co/Gp3K5B4wUN,NONE
"Santiago, ayer de tarde https://t.co/0qxHMWn71E",NONE
"RT @silviam68302612: @igalvar71 gracias,.sólo las mujeres q han sufrido algo así saben lo difícil q es hablar. Y lo valiente q ha sido ella…",P
"RT @MarcosRsocram: @igalvar71  lo bueno es tener gente como uds q exponen la realidad tal cual es. si habra para cambiar en este pais, hay…",P
"RT @OscarFl65305372: @luciabrocal @igalvar71 claro lucia, es mejor callar y confiar en la justicia que todo lo sabe .........",N
"RT @Leo_Terra1: @igalvar71 @luciabrocal cotidianamente y la justicia no actúa, le llaman ""morbo"".",N
"RT @Leo_Terra1: @igalvar71 @luciabrocal para ver culos, puterío argentino, y basura de la otra orilla no pasa nada. Pero para que se sepan…",N
RT @alicia_twi: @janarhertz la gente de @HuertasCom trabaja con reclusos. Precioso proyecto. Cc @DiegoRuete,P
RT @lammaro74: @AleDeBarbieri @igalvar71 Excelente la columna de hoy en Las Cosas!! Siempre haciéndonos ver cosas que no podemos o no quere…,P
"Hillary y Donald no se dieron la mano al final, por segunda vez #debate",NONE
RT @CynBruzzone: @janarhertz en Punta de Rieles hay lindos proyectos privados. Falta un marco regulatorio de trabajo penitenciario es clave…,P
"Arranca ""El día después"" obra escrita dirigida y actuada por muchachos de Punta Rieles en El Faro",NONE
yo le habría puesto un estradito a Bernie para que debata también #debate,NEU
"hillary y donald sobre aborto #debate
extremo",NONE
"el #debate venía bien, creo que se está desinflando un poco al final",N
"RT @Gonzalomaciel2: @janarhertz depende de las condiciones, lo mismo corre para el de Chile. No hay q decir ni sí ni no, 1ero es saber cond…",NEU
trump notoriamente más tranquilo en este #debate,P
RT @luiscostabonino: @janarhertz Creo que sería una torpeza oponerse a un tratado comercial con un mercado gigantesco. Siempre nos quejamos…,N
"por fin veo a Uruguay en un portal importante de noticias chinas!
https://t.co/vD6FpwjHfv",P
"RT @pefier: @janarhertz Creo q faltaría la opción ""depende las condiciones"".",NEU
RT @elialjanati: @janarhertz las redes permiten insultar sin tener que mirar a los ojos . No está bueno.,N
"Hola @Anteldetodos, me llega la notificación de un SMS a mi teléfono, pero voy a mensajes y no está el SMS, cómo hago p contestar?",NONE
"lo tomo con pinzas xq quien postea es fanática de Trump, pero lo q se ve de Joe Biden en algunos casos es disgusting
https://t.co/QOozB1EYdH",N
"Se quejan de que antes deberían enseñar comprensión lectora, pero no hacen mucha gala de ella. La noticia no dice q van a enseñar chino",N
"En el Instituto de Matemática de la Universidad Católica de Valparaíso proyectan ""El hombre que conocía el infinito"" 😍👳🏽 🎬📝🔣 🔢🔝",P
El plan Ceibal tendrá plataforma para aprender chino mandarín https://t.co/I4IPKJOpLK,NONE
RT @radicalfreedom: En pocas palabras: la reunión entre Vázquez y Xi Jinping no tiene precedentes en la historia de la diplomacia uruguaya.,P
RT @MaronnaGerardo: Una crack la mamá del ex árbitro argentino @HectorBaldassi https://t.co/qoVOQYmK0G,P
RT @DDelgrossi: Para mi Profesora de Matemáticas favorita: @janarhertz Buenas noches y felices sueños para todos! https://t.co/9y8MF7Wcr3,P
"RT @alicia_twi: La publicidad de Adidas y Pogba. Buenísima 
https://t.co/OAxWY3Kb0d",P
RT @AsunPublicosTV: @OperttiRenato #Contrapunto: La repetición es una herramienta pedagógica obsoleta,N
"Muy bien que aprendan chino, pero antes tienen que aprender...
Antes no,durante. No está mal q se le agreguen nuevas opciones de aprendizaje",P
"Muy fuerte la movida en Arg de poner nombre, edad e historia en el perfil de c/u recordando feminicidios. Anoche tuve pesadillas, no es joda",N
Nuestro movimiento sigue creciendo. Es un honor que se unan @danielpenia505 y @JavierdeHaedo https://t.co/xXlaxVvZ30,P
"Con Daniel Peña somos personas de trabajo, y eso es lo que necesita Uruguay. https://t.co/YQCXv9yVHP",P
"Por encima de los partidos, está la gente. https://t.co/H2uqpW63yG",P
Gracias a todos los que confían en este movimiento. Seguimos creciendo. https://t.co/sS26dDBtyJ,NONE
RT @anypelais: Hoy terminamos la gira en Fray Bentos y Rio Negro. @senadordbianchi con @EdgardoNovick https://t.co/ukX7y83FSv,NONE
"Estimado Jorge, seguro dará la misma pelea que dio toda su vida por el país. Fuerza",P
"Desde Artigas, acompañamos la Marcha por la Diversidad. https://t.co/M1VFHYaMZe",NONE
"Tremenda tormenta con truenos acá en Santiago, placer",P
"RT @Subrayado: AHORA: Novick sumó a sus filas al diputado Daniel Peña y al economista Javier De Haedo, ambos blancos.

https://t.co/ekpxX8n…",NONE
"RT @elpaisuy: El diputado Peña anunció que deja el Partido Nacional y se va con @EdgardoNovick - 
https://t.co/uLw5j1vPOA https://t.co/hb80…",NONE
RT @leoluzzi: Novick también presentó hoy al economista De Haedo en su grupo https://t.co/kD4WBpC8yk,NONE
Seguimos recorriendo Montevideo y esta vez estuvimos en Casabó escuchando las necesidades y urgencias de los vecinos https://t.co/5ndoy5EVsm,NONE
Necesitamos un gobierno que cambie. No uno que después de 12 años justifique el ajuste porque la realidad cambia https://t.co/TIqOzJmQvy,N
Estamos recorriendo el interior y vemos que cada vez más gente se queda sin trabajo. https://t.co/Cu0MW5jP2e,N
"No es 1 año, son 26 años del Frente Amplio en la Intendencia y aún no se ha hecho nada. https://t.co/RtmB1EirPS",N
La gente en los barrios humildes nos pregunta: ¿Dónde está Mujica? ¿Por qué no cumplió lo que prometió? https://t.co/MDamIVY5LJ,N
RT @CodigoPais: Este miércoles en Código País https://t.co/MT2gr0CbDq,NONE
Esta noche a las 23:30 hs estaré en @CodigoPais por @Teledocecom. Los invito a sumarse.,NONE
RT @EdgardoNovick: Esta noche a las 23:30 hs estaré en @CodigoPais por @Teledocecom. Los invito a sumarse.,NONE
"Para Mujica y Sendic no hay corrupción de izquierda. Para nosotros corrupción, es corrupción. https://t.co/lNFSVTs6vr",N
Podemos tener grandes diferencias con el FA pero eso nunca va a impedirnos trabajar a favor de la gente. https://t.co/yMzuogJobq,P
"Decidí no quedarme de brazos cruzados, vengo a sumar. https://t.co/oxqkwiZqaB https://t.co/Oht9KBpLcC",P
La mitad de nuestros jóvenes no tienen los derechos fundamentales cubiertos . https://t.co/Vt319RGmSl,N
"Seguimos creciendo. 

Todos juntos podemos construir el país que soñamos. https://t.co/cwUihcWxWc",P
"Novick de Mujica: ""Colgó el fusil y descolgó la guitarra"" - https://t.co/8LhuViMVMX via @elpaisuy",N
"Mujica, el valiente guerrillero que teme a un dibujito https://t.co/d2Go8trHZw",N
"Todos los gringos escandalizados con que Trump no reconozca resultados de elecciones. Pero cuando las trucharon en Florida, todos calladitos",N
Cuando Sendic insiste con que le digan licenciado https://t.co/3ISeVGJD1N,N
"RT @maurirabuffetti: @frascafrasca El no debatir también dice mucho sobre políticos: sobre su falta de coraje, cuánto les cuesta ser transp…",N
"En UY muchos dicen que debates presidenciales son retórica vacía. Con la misma lógica, también es inútil hablar en el Parlamento.",N
"Hora de ir a domir. Pero si están en Minas, recuerden q el viernes 19:30 daré conf sobre Videojuegos y Educación en el CTC (entrada gratis)",NONE
"Incluso si debates fueran sólo ""retórica"", igual dicen mucho sobre políticos: cómo reaccionan en stress, sus modales, temperamento, etc.",NEU
Todo el mundo años diciendo pestes sobre Fox News y el moderador este les para el carro a los dos y los tiene cortitos #debatenight,P
"Bien o mal, debates aportan mucha más información que comerciales de TV. Sesgada, cierto, pero no mucho más que el resto.",P
"RT @KleinDario: Los que dicen al voleo ""republicanos y demócratas son mi mismo"", no tienen ni idea lo distintos que son. Vean el debate #Cl…",N
"Si es cierto que el comesario manda retirar cuadros ocsenos y la polecía acata, mesmo nos recibimos de pueblo chico https://t.co/E9RPEQ8MhV",N
RT @BrunoGili1: Aquí un muy buen programa explicando por que Eduy21 se ha creado. @eduy21 https://t.co/JEeV95amVg,P
"RT @Hernan_Bonilla: Hoy se presenta @Eduy21 una excelente iniciativa con gente que tiene mucho para aportar, éxitos! @BrunoGili1 @juanpedro…",P
"Insistir que ""no todo está mal en la educación uruguaya"" es como decirle al paciente de cáncer que no dramatice pues no tiene caries",N
"RT @pictoline: Obama dictó una orden para que Estados Unidos se prepare ante una tormenta solar.

Y no, no está exagerando. https://t.co/Jf…",NONE
"RT @alvarolame: Un lujo tenerlo a @frascafrasca en Minas, me da mucha pena no poder estar. No se lo pierdan https://t.co/OnxUK2F0sd",P
"RT @Rod_F: Hey #gamedev Uruguayos, ahora saben cómo participar en el #CoNaViUY gracias la tecnología del GIF! ;) https://t.co/tHebu574ES",NONE
"Obreros y estudiantes, unidos y adelante (en Harvard) https://t.co/oAjWBXH2nn",P
"RT @pictoline: Reto: ¿Cuántos puntos ves?

😱

¡No es un truco!
Es tu visión periférica: https://t.co/WsSvTm6bFI",NONE
RT @BrunoGili1: En tres días largamos..... https://t.co/YQCv3MTBr2,NONE
Atento Lavalleja: este viernes voy a estar hablando de Aprendizaje de Matemáticas con Videojuegos en Minas. Pronto más detalles!,NONE
Otro de los excelentes videos cortitos sobre bullying #EducamosJuntos https://t.co/9wH9FKTcD3,P
Excelente serie de videos suecos sobre bullying #EducamosJuntos https://t.co/yPJXqsnMQ5,P
"Bob Dylan gana Premio Nobel de Literatura. Te queremos, Bob!  https://t.co/JKW9bYZHxE",P
RT @brechabarycafe: Sea responsable con su dinero. https://t.co/gBfl1DnuZd,NEU
RT @ElChatoDel4: Amigos maestros y docentes: https://t.co/XbZglCrGuj,NONE
Vayan pelando los gamepads!  Cómo los videojuegos de fútbol están cambiando la manera de ver y jugar al fútbol https://t.co/Qh8rtjI4fG,NONE
"literatura
Del lat. litteratūra.
1. f. Arte de la expresión verbal.

El Nobel muchas veces lo dan pifiado, pero este no es el caso.",P
Nunca dejes que te encasillen https://t.co/7F6h37dese,NEU
"Ese gol no lo metía nadie, ni con un dron",P
"Si las mujeres no votaran en EEUU, Trump ganaría por goleada #GraciasGurisas https://t.co/JQQucuNlpq",P
PLS RT - Este sábado hablamos de educación en evento exclusivo para docentes de Primaria. Inscribirse gratis en… https://t.co/I2EbRxHTjX,NONE
Bebes comienzan a intentar comunicar gestualmente mucho antes de lo que se creía https://t.co/mW2Sm7Hpys,NONE
Soy yo o el Donald está infinitamente mejor ahora que en el debate pasado? #antidoppingYa #esUnRobot?,P
El Nobel de la Paz para Obama fue cualquier cosa. El de Santos también. Ahora entiendo por qué Mujica pensaba que tenía chance.,N
"RT @ObservadorUY: Quinientos alumnos de escuelas públicas de Colonia pagan a diario boleto de transporte para asistir a clase
https://t.co/…",NONE
"Gringos apabullados por grabación de Trump diciendo ordinariece. No sé, para mi un shock sería que lo hubieran grabado recitando Rimbaud",N
"Si en verdad preocupa tanto la seguridad, me parece que le estamos errando de Ministerio",N
"A veces uno pierde el tiempo con la pantallita.
A veces uno es testigo de la belleza. 
https://t.co/3vd3UDEoFk",N
RT @cscolari: De Picasso a Pikachu https://t.co/r9O0XHlyCi Mi artículo en @el_pais de hoy Apocalípticos &amp; integrados #UmbertoEco,N
"Por ahora Westworld es mucho más interesante que entretenida pero eso no es necesariamente malo. Densa, con ideas, gente en bolas y balas",P
Otro problema urgente. Uruguay debe usas buena experiencia con el tabaquismo para dificultar acceso de niños a comi… https://t.co/zkLsGKFL4T,N
"También estamos haciendo un segundo piloto, mucho más pequeño, en Francia. Probando, equivocándonos, mejorando, aprendiendo como locos.",P
"RT @BrunoAstengo71: Bien los @jovenes71 y Gracias @LuisLacallePou por este intercambio, seguimos en el camino @lista71 https://t.co/SKcAaSF…",P
RT @lujan400: Esta @mesacanelones no afloja ni abajo del  Agua. Presente Oribe! https://t.co/xDtn0SIIma,P
RT @Camiolivo98: Juventud de @lista71  mano a mano con @LuisLacallePou https://t.co/K1uPURtBn8,NONE
RT @SenJavierGarcia: En medio de la tormenta gran asamblea del municipio G en Colón del @ESPACIOCUARENTA @TodosUy https://t.co/CXXMVAwF95,P
RT @adribalcarcel: Gran reunión !lluvia de ideas! @jovenes71 con @LuisLacallePou https://t.co/evbmNhhuy7,P
RT @SantiBorsari: @LuisLacallePou los #Jovenes son quienes sacuden movilizan y motivan desde la nobleza más pura @jovenes71 https://t.co/1B…,P
RT @soledad13489: Impresionante el mano a mano con @LuisLacallePou @lista71 @GustavoPenades @edildmartinez @jovenes71 https://t.co/cVYiYHHv…,P
"RT @EmelyTechera: Siempre es un placer escucharte @LuisLacallePou . Excelente reunión @jovenes71 https://t.co/KJP3sxHHAi",P
"Excelente @eduy21 . Diversidad de pensamiento , unidad en el fin. Políticas nacionales a corto, mediano y largo plazo para la educación.",P
RT @71PorMontevideo: Hoy!!! Luis y los jovenes en un mano a mano. Estan todos invitados!!! https://t.co/0uy3WweMbv,NONE
"RT @Herrerismo: Defensa e Interior difieren sobre balas que debe usar la policía (preguntados por el senador @LuisLacallePou)
https://t.co/…",NONE
"RT @Herrerismo: 100 años de una hazaña. @GustavoPenades (uruguaya, en la Antártida)
https://t.co/9PDd1TPEhO https://t.co/S02n45vhCx",NONE
RT @AlvarezKir: Excelente reunión de jóvenes de @Aire__Fresco junto a @LuisLacallePou https://t.co/5itkRKoJPT,P
RT @criscor1996: [AHORA] Gran convocatoria en el Club Soriano. @LuisLacallePou junto a jóvenes del interior #JóvenesConLuis https://t.co/yx…,P
RT @TodosUy: Termina el mano a mano de @LuisLacallePou con jóvenes de @Aire__Fresco del interior del país. https://t.co/9PvaeoG0Q3,NONE
Dolor y respeto https://t.co/KP4e34UbY2 via @elpaisuy,NONE
"RT @LourdesRapalin: @GerardoAmarilla Seguimos avanzando, por más inclusión, mejores oportunidades. Por igualdad de  derechos !!! https://t.…",NONE
RT @fede__delgado: Excelente mano a mano de jóvenes de @Aire__Fresco con @LuisLacallePou https://t.co/AFR52hkjXV,P
RT @Diego__RS: Gran iniciativa de los jóvenes del interior de @Aire__Fresco en un gran mano a mano con @LuisLacallePou https://t.co/RDEaDOM…,P
